date,holiday_name,information,more_information,jurisdiction
2015-10-05,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,ACT
2015-10-05,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,NSW
2015-10-05,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,QLD
2015-10-05,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,SA
2015-11-03,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council,NA,VIC
2015-11-03,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council,http://australia.gov.au/about-australia/australian-story/melbourne-cup,VIC
2015-12-24,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,ACT
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NSW
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,SA
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NT
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,TAS
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,QLD
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,VIC
2015-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,WA
2015-12-28,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,ACT
2015-12-28,Proclamation Day,Substitute for Saturday 26 December.  Occurs the day after Christmas Day,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2015-12-28,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,TAS
2015-12-28,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,VIC
2015-12-28,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NSW
2015-12-28,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,QLD
2015-12-28,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NT
2015-12-31,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,ACT
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,ACT
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NSW
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,NSW
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NT
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,NT
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,QLD
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,QLD
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,TAS
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,TAS
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,VIC
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,VIC
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,WA
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,WA
2016-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,SA
2016-01-01,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,NA,SA
2016-01-26,Australia Day,Always celebrated on 26 January,NA,ACT
2016-01-26,Australia Day,Always celebrated on 26 January,NA,NSW
2016-01-26,Australia Day,Always celebrated on 26 January,NA,NT
2016-01-26,Australia Day,Always celebrated on 26 January,NA,QLD
2016-01-26,Australia Day,Always celebrated on 26 January,NA,TAS
2016-01-26,Australia Day,Always celebrated on 26 January,NA,VIC
2016-01-26,Australia Day,Always celebrated on 26 January,NA,WA
2016-01-26,Australia Day,Always celebrated on 26 January,NA,SA
2016-03-07,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2016-03-14,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2016-03-14,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of AustraliaŐs capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
2016-03-14,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/resources/public_holidays,TAS
2016-03-14,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,ACT
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NSW
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NT
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,QLD
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,TAS
