season_start,state,dst_start_date,dst_finish_date
2015, SA,2015-10-04,2016-04-03
2016,TAS,2016-10-02,2017-04-02
2016, VIC,2016-10-02,2017-04-02
2016, ACT,2016-10-02,2017-04-02
2016, NSW,2016-10-02,2017-04-02
2016, SA,2016-10-02,2017-04-02
2017,TAS,2017-10-01,2018-04-01
2017, VIC,2017-10-01,2018-04-01
2017, ACT,2017-10-01,2018-04-01
2017, NSW,2017-10-01,2018-04-01
2017, SA,2017-10-01,2018-04-01
